iter	RMSE
0	6269.105125
1	5884.538327
2	5548.657676
3	5238.703765
4	4981.672281
5	4745.315319
6	4548.662933
7	4360.197284
8	4201.071466
9	4061.915418
10	3931.632661
11	3813.847295
12	3715.794055
13	3628.037413
14	3554.657013
15	3485.745711
16	3421.533467
17	3372.532823
18	3328.515056
19	3278.689038
20	3239.577787
21	3207.16072
22	3177.070865
23	3147.712567
24	3124.16312
25	3095.52822
26	3071.530116
27	3040.670443
28	3015.330378
29	2995.717101
30	2982.706376
31	2961.242037
32	2947.894039
33	2931.51468
34	2914.858817
35	2895.320164
36	2881.049575
37	2869.860493
38	2868.099699
39	2857.995465
40	2835.320535
41	2824.852522
42	2809.829041
43	2796.541324
44	2787.183399
45	2775.3158
46	2766.161843
47	2764.669737
48	2757.926362
49	2755.536622
50	2746.701869
51	2738.430173
52	2734.979332
53	2727.90444
54	2720.828919
55	2707.55634
56	2704.388314
57	2701.203148
58	2693.277304
59	2692.090745
60	2689.815756
61	2674.954139
62	2667.444944
63	2665.67618
64	2653.939938
65	2649.412361
66	2644.805127
67	2637.33037
68	2623.835987
69	2622.683622
70	2606.962778
71	2605.937514
72	2603.776295
73	2592.20917
74	2590.650965
75	2580.144139
76	2579.307056
77	2577.71415
78	2571.045546
79	2552.285326
80	2545.500987
81	2544.015696
82	2532.225346
83	2527.639885
84	2523.745003
85	2513.090401
86	2511.351126
87	2509.723265
88	2505.311329
89	2500.736076
90	2488.790101
91	2480.032654
92	2473.083498
93	2469.222613
94	2467.327499
95	2465.181922
96	2463.4969
97	2458.817795
98	2445.537635
99	2443.705644
100	2434.28057
101	2429.777137
102	2425.043485
103	2423.231612
104	2406.381177
105	2403.740076
106	2400.950829
107	2399.211405
108	2387.063339
109	2374.653177
110	2362.645677
111	2359.295451
112	2350.258714
113	2338.773255
114	2337.209883
115	2323.678093
116	2320.262323
117	2311.325642
118	2299.894376
119	2298.322276
120	2288.066729
121	2286.621657
122	2284.398809
123	2269.232791
124	2267.779609
125	2261.137253
126	2251.031302
127	2242.157859
128	2234.575454
129	2232.156408
130	2223.828631
131	2219.771773
132	2211.219204
133	2209.824552
134	2203.628483
135	2192.999965
136	2186.996268
137	2185.66038
138	2175.53818
139	2172.755527
140	2170.821038
141	2169.043881
142	2164.701912
143	2160.754015
144	2155.909446
145	2149.441188
146	2141.402967
147	2139.099113
148	2136.387088
149	2130.830108
150	2126.121233
151	2124.692559
152	2119.985855
153	2118.761115
154	2113.570365
155	2111.355389
156	2106.627413
157	2099.943351
158	2098.801809
159	2097.010213
160	2089.771918
161	2085.716939
162	2084.596949
163	2078.837541
164	2077.286996
165	2070.281328
166	2068.507143
167	2066.350877
168	2054.24155
169	2050.522079
170	2040.346239
171	2039.239273
172	2034.038068
173	2033.048334
174	2031.38932
175	2029.723612
176	2019.095879
177	2017.076985
178	2011.217588
179	2010.183796
180	2008.547339
181	2001.472953
182	1995.192392
183	1990.01611
184	1981.016795
185	1980.016593
186	1976.175271
187	1974.736525
188	1971.264156
189	1970.289093
190	1968.912066
191	1963.938122
192	1960.44857
193	1957.287583
194	1954.678501
195	1950.496736
196	1940.84482
197	1936.629512
198	1935.017888
199	1925.906326
200	1918.403435
201	1914.690775
202	1913.336871
203	1910.435716
204	1909.625779
205	1908.218093
206	1907.348695
207	1906.116151
208	1904.855453
209	1900.085184
210	1892.685149
211	1887.302979
212	1886.373065
213	1880.457034
214	1877.681889
215	1875.034569
216	1871.150655
217	1869.269144
218	1868.47
219	1867.204048
220	1863.515317
221	1856.864513
222	1854.914179
223	1850.401689
224	1843.080555
225	1842.288465
226	1833.619299
227	1832.7502
228	1829.960549
229	1828.608659
230	1823.881658
231	1822.54039
232	1820.771093
233	1819.66644
234	1816.345702
235	1809.426511
236	1808.144231
237	1803.168455
238	1802.326297
239	1801.189117
240	1794.567056
241	1786.578333
242	1782.400056
243	1775.713501
244	1774.977722
245	1771.623859
246	1770.448388
247	1769.741976
248	1769.071122
249	1767.254158
250	1761.799103
251	1755.348196
252	1751.087277
253	1746.956399
254	1746.186748
255	1745.470672
256	1744.243731
257	1740.883513
258	1738.402126
259	1734.536782
260	1731.355817
261	1725.02015
262	1724.304261
263	1722.074734
264	1721.32749
265	1720.174667
266	1719.264893
267	1717.955726
268	1717.292455
269	1716.178402
270	1713.774175
271	1711.75446
272	1709.749201
273	1709.109659
274	1705.084233
275	1704.088452
276	1703.411602
277	1702.788888
278	1701.707804
279	1695.222961
280	1693.700991
281	1692.773659
282	1689.686741
283	1688.670295
284	1684.88284
285	1683.883031
286	1683.012119
287	1682.35953
288	1681.238289
289	1679.833808
290	1678.315074
291	1677.085141
292	1674.575383
293	1671.71407
294	1669.753677
295	1663.41926
296	1662.133401
297	1660.805192
298	1659.538516
299	1658.602332
300	1657.944232
301	1655.469322
302	1654.813158
303	1654.237463
304	1649.913427
305	1649.319939
306	1646.233299
307	1645.367811
308	1641.582833
309	1639.829978
310	1638.031111
311	1636.797771
312	1634.292526
313	1632.853549
314	1632.240973
315	1631.411748
316	1630.406862
317	1629.791492
318	1627.090314
319	1626.101708
320	1623.828915
321	1622.805938
322	1620.029437
323	1619.385643
324	1618.778288
325	1613.329594
326	1610.615933
327	1608.289473
328	1607.213505
329	1606.102786
330	1604.121623
331	1603.52916
332	1602.74312
333	1598.776449
334	1595.005986
335	1593.026791
336	1591.990242
337	1591.4415
338	1590.039481
339	1587.593514
340	1583.803286
341	1583.27061
342	1582.258048
343	1579.221382
344	1576.730807
345	1575.987901
346	1573.323664
347	1572.78849
348	1567.976325
349	1567.393386
350	1563.436243
351	1561.868636
352	1561.358449
353	1560.543825
354	1554.983348
355	1554.457192
356	1553.710917
357	1552.803451
358	1550.247054
359	1549.501668
360	1547.413783
361	1546.53234
362	1543.878597
363	1542.651924
364	1541.649582
365	1540.89226
366	1539.215161
367	1537.031711
368	1532.469762
369	1530.51021
370	1529.943012
371	1527.095352
372	1525.140217
373	1524.375546
374	1521.580301
375	1521.0199
376	1519.821518
377	1517.884627
378	1512.466742
379	1511.640812
380	1511.111238
381	1510.632452
382	1507.708231
383	1506.601797
384	1506.099272
385	1505.300133
386	1504.794635
387	1503.9975
388	1503.094878
389	1502.344998
390	1501.519412
391	1496.159306
392	1495.681868
393	1491.841511
394	1490.316645
395	1486.394801
396	1484.777684
397	1484.291342
398	1474.014446
399	1473.235763
400	1472.752124
401	1470.846094
402	1470.175699
403	1467.921734
404	1467.221853
405	1462.306693
406	1461.801575
407	1460.16651
408	1459.012416
409	1455.931412
410	1455.464541
411	1451.361863
412	1450.633196
413	1445.212698
414	1437.672469
415	1437.206143
416	1436.489861
417	1435.69401
418	1432.815606
419	1432.154352
420	1431.666111
421	1430.200428
422	1429.600193
423	1427.68812
424	1427.001099
425	1426.374336
426	1425.746174
427	1421.933288
428	1418.654291
429	1414.75138
430	1412.120987
431	1410.088353
432	1407.884017
433	1403.843119
434	1400.836604
435	1399.762993
436	1398.92519
437	1398.297976
438	1397.833627
439	1397.41989
440	1396.820535
441	1395.615283
442	1395.193072
443	1394.739984
444	1390.489775
445	1388.193378
446	1387.407073
447	1386.949538
448	1382.743581
449	1382.287494
450	1376.908719
451	1375.956219
452	1372.312134
453	1371.564509
454	1366.509061
455	1366.082475
456	1365.454487
457	1364.93375
458	1364.235963
459	1363.659839
460	1362.970527
461	1362.544564
462	1360.6554
463	1357.364359
464	1356.944253
465	1351.261305
466	1348.421409
467	1347.995065
468	1347.204251
469	1344.387189
470	1343.980432
471	1343.562978
472	1343.251044
473	1342.50101
474	1340.527726
475	1339.912241
476	1336.141589
477	1335.801423
478	1334.787415
479	1332.393928
480	1328.964569
481	1326.134279
482	1324.098393
483	1322.045122
484	1321.296544
485	1320.635093
486	1320.20001
487	1319.551964
488	1318.930869
489	1316.889724
490	1316.307719
491	1314.585996
492	1313.833316
493	1311.955316
494	1308.753048
495	1308.322678
496	1303.946984
497	1303.227188
498	1298.928694
499	1298.351614
500	1297.924617
501	1297.260968
502	1296.762313
503	1296.428186
504	1296.029849
505	1294.409917
506	1292.983515
507	1291.588789
508	1288.301837
509	1286.410131
510	1285.748809
511	1283.529733
512	1281.661095
513	1281.252821
514	1280.584483
515	1279.884951
516	1278.321139
517	1277.928358
518	1277.528549
519	1277.157895
520	1276.63613
521	1272.059219
522	1271.567911
523	1271.209286
524	1270.860576
525	1270.478328
526	1266.493707
527	1266.14189
528	1265.629914
529	1262.195999
530	1261.653106
531	1259.793291
532	1257.488795
533	1255.549892
534	1255.200338
535	1249.139192
536	1247.946068
537	1247.588758
538	1247.102891
539	1246.043284
540	1244.077674
541	1241.006487
542	1239.699003
543	1239.210071
544	1236.388313
545	1233.452537
546	1232.944821
547	1230.19037
548	1226.323435
549	1225.047436
550	1224.443845
551	1223.909474
552	1223.256943
553	1220.943868
554	1220.236052
555	1219.867198
556	1218.468761
557	1214.922239
558	1214.554004
559	1214.032671
560	1213.666888
561	1210.652125
562	1210.233837
563	1209.451442
564	1204.688771
565	1202.454819
566	1201.31425
567	1200.681164
568	1199.024322
569	1196.325411
570	1195.835748
571	1195.522303
572	1194.892404
573	1194.5338
574	1193.945634
575	1193.288647
576	1192.925541
577	1190.912998
578	1190.570689
579	1190.004287
580	1186.728443
581	1186.189312
582	1184.617796
583	1179.941657
584	1179.626859
585	1177.341757
586	1177.003254
587	1175.392773
588	1170.515672
589	1169.394654
590	1169.074143
591	1167.58926
592	1165.959591
593	1164.836821
594	1163.328846
595	1162.756911
596	1162.224982
597	1160.47254
598	1160.128171
599	1159.641146
600	1159.207968
601	1158.815173
602	1154.839644
603	1153.578919
604	1153.225604
605	1152.721103
606	1152.416844
607	1151.965667
608	1149.374043
609	1148.314235
610	1147.825246
611	1143.880418
612	1143.461569
613	1143.094223
614	1140.997028
615	1138.423291
616	1138.11955
617	1136.599574
618	1136.287084
619	1135.800509
620	1135.200983
621	1134.817027
622	1133.808786
623	1133.295516
624	1132.898108
625	1132.351604
626	1131.94506
627	1130.111568
628	1129.080971
629	1128.666396
630	1124.584659
631	1123.755575
632	1122.930523
633	1122.529268
634	1121.601797
635	1120.346751
636	1118.393595
637	1118.068581
638	1117.74877
639	1115.354466
640	1112.854049
641	1112.541277
642	1109.672266
643	1106.356544
644	1105.445517
645	1105.015846
646	1102.70605
647	1100.177173
648	1099.4757
649	1098.016112
650	1097.77599
651	1095.935406
652	1095.443135
653	1095.143389
654	1093.397065
655	1092.730091
656	1091.68384
657	1091.359608
658	1091.038571
659	1090.187045
660	1089.735888
661	1087.631669
662	1084.822873
663	1084.18803
664	1081.592872
665	1080.295555
666	1079.988537
667	1079.698577
668	1079.27523
669	1075.930289
670	1073.212492
671	1072.7318
672	1071.784174
673	1067.940564
674	1067.544444
675	1067.126836
676	1066.839663
677	1066.354887
678	1066.056783
679	1065.106047
680	1064.802522
681	1063.398605
682	1061.484751
683	1059.270046
684	1058.626201
685	1058.332815
686	1057.267717
687	1056.806694
688	1055.563084
689	1054.100474
690	1051.326463
691	1050.41732
692	1050.133194
693	1049.756571
694	1049.276423
695	1047.905459
696	1047.626461
697	1047.186719
698	1046.91569
699	1046.379649
700	1045.982925
701	1043.760874
702	1039.063356
703	1036.550447
704	1035.511722
705	1034.958629
706	1034.529424
707	1034.168976
708	1033.81429
709	1032.329502
710	1031.911389
711	1031.502027
712	1029.768375
713	1029.491797
714	1028.020936
715	1027.729957
716	1026.132726
717	1025.860423
718	1025.62636
719	1025.251555
720	1024.905527
721	1022.918346
722	1020.604918
723	1019.378285
724	1018.083098
725	1017.819832
726	1016.959862
727	1016.144271
728	1013.492715
729	1012.9039
730	1012.291515
731	1011.020144
732	1007.850417
733	1006.646051
734	1006.2524
735	1005.131939
736	1004.280261
737	1004.006646
738	1002.990949
739	1000.798881
740	1000.304216
741	999.8713423
742	999.4489721
743	996.382641
744	994.5947265
745	991.7525041
746	991.373796
747	991.1022092
748	990.8146327
749	990.5413595
750	989.8132887
751	989.4921462
752	989.2591339
753	988.9701274
754	988.1009749
755	987.850994
756	987.389221
757	987.0302885
758	986.5423992
759	985.4114877
760	985.1360437
761	984.3315166
762	983.917815
763	983.5797232
764	982.7476092
765	982.3155238
766	981.8111555
767	981.5639678
768	978.2071047
769	977.9681645
770	977.6505504
771	977.2935058
772	976.7428892
773	976.1074989
774	975.8368194
775	975.4832699
776	975.2174815
777	972.2687784
778	967.7321604
779	966.8212547
780	966.4662648
781	965.8872613
782	965.5590416
783	965.2290601
784	964.8463382
785	964.4529714
786	963.2277886
787	962.9685784
788	961.3510324
789	957.7673139
790	957.20585
791	954.2940493
792	953.8947053
793	953.5269644
794	953.1758826
795	951.8957744
796	949.6316868
797	949.373384
798	949.1181981
799	948.7812895
800	948.5395193
801	948.2836415
802	947.646264
803	944.3962364
804	944.108191
805	943.1030184
806	942.7748156
807	941.425164
808	940.9329193
809	940.5694367
810	939.1221844
811	938.6717846
812	938.4405062
813	938.1527925
814	937.7236208
815	935.72448
816	935.4914603
817	934.0425999
818	933.8049171
819	932.5374351
820	932.127011
821	931.8533786
822	930.7951972
823	930.5472336
824	927.8757937
825	927.5684838
826	927.2442008
827	925.8048045
828	924.5032529
829	924.2639924
830	920.4122647
831	920.1717264
832	919.5661788
833	917.3181937
834	916.4519353
835	916.2374525
836	915.979847
837	914.6750765
838	914.4501127
839	913.2392278
840	911.6948799
841	909.8604837
842	909.5913047
843	909.3510009
844	908.3768024
845	907.8088855
846	907.4510223
847	906.4549491
848	906.0534457
849	905.0553691
850	902.7356032
851	901.3730805
852	898.3863726
853	897.3252576
854	896.6050952
855	896.3586766
856	895.7530863
857	895.4796691
858	895.1286533
859	894.9069172
860	894.4547778
861	894.2234836
862	894.016171
863	892.7625285
864	892.1136452
865	888.2062421
866	886.7347947
867	886.3567423
868	886.1296921
869	885.7933915
870	885.3952467
871	885.0926098
872	884.4203692
873	881.5482417
874	876.8407381
875	876.6203036
876	876.3159798
877	875.1364423
878	874.9233446
879	874.1628798
880	873.8423251
881	872.3245606
882	871.9579912
883	870.8491841
884	869.6213489
885	869.3224861
886	865.5073057
887	864.1127957
888	862.6095029
889	862.2951819
890	861.0810057
891	860.7443698
892	860.4328456
893	860.1988559
894	859.9653437
895	859.7466229
896	859.4384623
897	859.2142164
898	858.8627142
899	858.5123648
900	857.1510659
901	856.2545661
902	855.7813089
903	855.5582992
904	855.1786688
905	854.8316562
906	853.7080416
907	853.4679132
908	852.4759227
909	851.8320421
910	851.6094729
911	849.8974305
912	849.5181528
913	849.3109306
914	848.7187764
915	847.7726726
916	847.5592267
917	845.3215874
918	844.4980968
919	844.2928156
920	842.3906412
921	840.2298678
922	839.4257435
923	839.0786495
924	838.7183429
925	836.719538
926	836.5153511
927	836.1901799
928	835.8212537
929	835.5562398
930	835.244989
931	834.898176
932	834.5934676
933	831.5201023
934	831.271353
935	830.7992923
936	830.1486348
937	829.9621938
938	829.7053322
939	827.6309026
940	826.2056501
941	825.9878844
942	825.1427541
