iter	Passed	Remaining
0	185	185686
1	254	126769
2	318	105950
3	394	98298
4	463	92196
5	526	87193
6	589	83643
7	685	84994
8	748	82448
9	812	80483
10	875	78740
11	947	78051
12	1010	76751
13	1077	75895
14	1166	76587
15	1231	75746
16	1293	74821
17	1357	74042
18	1451	74952
19	1549	75929
20	1613	75214
21	1714	76215
22	1782	75699
23	1851	75277
24	1924	75036
25	2015	75519
26	2087	75227
27	2157	74903
28	2253	75442
29	2408	77862
30	2534	79215
31	2605	78819
32	2682	78612
33	2799	79538
34	3101	85524
35	3312	88708
36	3393	88311
37	3473	87935
38	3556	87647
39	3630	87120
40	3700	86561
41	3770	86002
42	3905	86923
43	4030	87570
44	4231	89806
45	4415	91569
46	4550	92278
47	4629	91827
48	4705	91319
49	4809	91374
50	4881	90841
51	4966	90550
52	5109	91297
53	5213	91339
54	5333	91644
55	5431	91557
56	5546	91761
57	5637	91567
58	5729	91376
59	5813	91083
60	5902	90861
61	5993	90669
62	6109	90860
63	6215	90895
64	6303	90679
65	6400	90583
66	6474	90161
67	6557	89875
68	6626	89405
69	6697	88987
70	6787	88810
71	6854	88344
72	6924	87926
73	6997	87559
74	7112	87720
75	7197	87501
76	7213	86470
77	7280	86062
78	7376	85997
79	7452	85707
80	7523	85361
81	7591	84982
82	7656	84585
83	7719	84179
84	7779	83745
85	7889	83850
86	7987	83827
87	8055	83488
88	8134	83259
89	8195	82862
90	8256	82477
91	8317	82094
92	8400	81923
93	8459	81534
94	8518	81153
95	8582	80818
96	8643	80460
97	8701	80089
98	8762	79748
99	8848	79633
100	8918	79386
101	9023	79439
102	9092	79184
103	9161	78927
104	9223	78615
105	9285	78314
106	9371	78214
107	9435	77928
108	9497	77636
109	9557	77328
110	9619	77039
111	9682	76765
112	9753	76562
113	9883	76811
114	9966	76699
115	10027	76415
116	10087	76130
117	10148	75856
118	10210	75588
119	10277	75365
120	10365	75300
121	10426	75036
122	10489	74791
123	10556	74574
124	10622	74358
125	10737	74484
126	10830	74449
127	10954	74625
128	11023	74429
129	11092	74231
130	11163	74054
131	11245	73948
132	11312	73746
133	11391	73618
134	11486	73597
135	11556	73416
136	11661	73456
137	11774	73549
138	11845	73372
139	11924	73251
140	12055	73447
141	12184	73620
142	12267	73516
143	12388	73644
144	12458	73459
145	12530	73295
146	12700	73699
147	12792	73644
148	12889	73616
149	12985	73586
150	13097	73638
151	13168	73464
152	13248	73343
153	13316	73153
154	13390	72998
155	13478	72919
156	13548	72746
157	13685	72933
158	13757	72767
159	13840	72662
160	13904	72459
161	14081	72843
162	14192	72876
163	14267	72731
164	14348	72612
165	14461	72654
166	14542	72538
167	14627	72438
168	14714	72353
169	14812	72318
170	14882	72147
171	14958	72007
172	15043	71911
173	15140	71874
174	15207	71690
175	15302	71642
176	15410	71656
177	15476	71471
178	15551	71328
179	15635	71226
180	15774	71378
181	15901	71467
182	15984	71364
183	16179	71754
184	16280	71722
185	16363	71611
186	16445	71497
187	16525	71375
188	16631	71366
189	16747	71396
190	16883	71510
191	16975	71439
192	17076	71400
193	17182	71386
194	17303	71434
195	17417	71446
196	17512	71384
197	17625	71390
198	17710	71287
199	17818	71274
200	17908	71189
201	18028	71220
202	18135	71200
203	18224	71110
204	18335	71107
205	18413	70973
206	18491	70838
207	18562	70681
208	18644	70562
209	18711	70390
210	18786	70247
211	18890	70217
212	19002	70211
213	19177	70438
214	19267	70349
215	19358	70265
216	19434	70126
217	19505	69970
218	19627	69994
219	19724	69930
220	19814	69845
221	19939	69876
222	20036	69814
223	20110	69669
224	20183	69521
225	20276	69441
226	20341	69268
227	20425	69160
228	20492	68993
229	20569	68862
230	20672	68818
231	20749	68688
232	20876	68721
233	20974	68659
234	21058	68551
235	21143	68446
236	21230	68350
237	21307	68220
238	21402	68146
239	21516	68136
240	21586	67984
241	21670	67877
242	21742	67733
243	21851	67703
244	21920	67552
245	21993	67410
246	22098	67369
247	22183	67267
248	22270	67170
249	22351	67053
250	22479	67079
251	22557	66955
252	22652	66882
253	22752	66824
254	22826	66689
255	22914	66593
256	22999	66491
257	23088	66401
258	23207	66397
259	23284	66272
260	23435	66355
261	23520	66253
262	23596	66122
263	23673	65999
264	23748	65868
265	23831	65760
266	23909	65640
267	24046	65679
268	24138	65596
269	24219	65481
270	24313	65405
271	24419	65357
272	24511	65274
273	24620	65234
274	24729	65196
275	24802	65061
276	24890	64966
277	24966	64841
278	25055	64750
279	25134	64630
280	25208	64501
281	25312	64448
282	25385	64315
283	25460	64188
284	25545	64088
285	25623	63969
286	25698	63843
287	25777	63728
288	25892	63702
289	25974	63592
290	26047	63463
291	26121	63335
292	26206	63236
293	26301	63160
294	26378	63039
295	26511	63054
296	26593	62945
297	26690	62875
298	26781	62789
299	26881	62722
300	26980	62656
301	27100	62636
302	27212	62598
303	27289	62479
304	27372	62372
305	27444	62243
306	27516	62114
307	27591	61991
308	27667	61870
309	27762	61794
310	27845	61689
311	27941	61614
312	28007	61472
313	28084	61356
314	28168	61254
315	28239	61125
316	28365	61116
317	28455	61026
318	28568	60987
319	28650	60881
320	28724	60760
321	28832	60709
322	28912	60599
323	29024	60556
324	29109	60458
325	29185	60341
326	29256	60213
327	29353	60138
328	29446	60057
329	29525	59945
330	29647	59921
331	29761	59881
332	29835	59759
333	29929	59680
334	30007	59566
335	30094	59473
336	30181	59377
337	30331	59405
338	30403	59282
339	30478	59164
340	30557	59053
341	30639	58950
342	30716	58835
343	30802	58740
344	30901	58667
345	30973	58544
346	31046	58424
347	31118	58302
348	31189	58178
349	31265	58063
350	31352	57970
351	31454	57904
352	31529	57788
353	31600	57666
354	31673	57547
355	31756	57446
356	31833	57335
357	31903	57212
358	32008	57151
359	32097	57062
360	32195	56987
361	32279	56890
362	32364	56793
363	32473	56738
364	32553	56633
365	32674	56600
366	32793	56562
367	32883	56473
368	32970	56379
369	33047	56270
370	33126	56163
371	33249	56131
372	33386	56122
373	33464	56012
374	33539	55898
375	33618	55792
376	33695	55682
377	33772	55572
378	33847	55459
379	33956	55402
380	34027	55284
381	34101	55170
382	34197	55090
383	34271	54977
384	34364	54893
385	34453	54803
386	34553	54731
387	34637	54634
388	34730	54551
389	34808	54443
390	34882	54330
391	34962	54227
392	35051	54137
393	35195	54133
394	35276	54031
395	35353	53922
396	35462	53863
397	35555	53780
398	35635	53675
399	35727	53591
400	35876	53591
401	35971	53510
402	36070	53433
403	36173	53364
404	36254	53262
405	36346	53176
406	36450	53108
407	36556	53043
408	36641	52945
409	36732	52859
410	36811	52753
411	36882	52638
412	36969	52545
413	37067	52467
414	37181	52411
415	37274	52327
416	37359	52231
417	37434	52122
418	37509	52012
419	37593	51915
420	37688	51832
421	37792	51763
422	37862	51647
423	37935	51535
424	38010	51425
425	38083	51314
426	38168	51218
427	38252	51121
428	38399	51109
429	38486	51017
430	38575	50927
431	38699	50882
432	38784	50787
433	38872	50695
434	38979	50628
435	39149	50642
436	39242	50556
437	39373	50520
438	39460	50427
439	39547	50333
440	39640	50247
441	39723	50148
442	39878	50140
443	39968	50050
444	40051	49952
445	40135	49854
446	40225	49763
447	40351	49718
448	40492	49690
449	40602	49624
450	40691	49534
451	40805	49471
452	40891	49377
453	40965	49267
454	41056	49178
455	41146	49086
456	41261	49026
457	41351	48935
458	41432	48834
459	41509	48728
460	41585	48621
461	41668	48523
462	41782	48460
463	41900	48402
464	41996	48318
465	42082	48222
466	42210	48175
467	42314	48101
468	42394	47999
469	42479	47901
470	42587	47831
471	42664	47726
472	42788	47673
473	42874	47578
474	42959	47481
475	43045	47385
476	43128	47287
477	43231	47211
478	43335	47134
479	43444	47064
480	43520	46958
481	43602	46858
482	43680	46755
483	43754	46647
484	43858	46571
485	43950	46483
486	44032	46383
487	44121	46291
488	44199	46187
489	44272	46079
490	44349	45975
491	44453	45899
492	44538	45803
493	44616	45699
494	44697	45600
495	44787	45510
496	44903	45445
497	44983	45344
498	45099	45279
499	45181	45181
500	45257	45076
501	45330	44969
502	45414	44873
503	45491	44769
504	45564	44662
505	45670	44587
